label,n_cells,oob_r2,oob_rmse
2017-01,8575,0.22067187254913756,0.8367644548416138
2017-02,13267,0.702434240053559,0.9524768590927124
2017-03,13295,0.7617111388600253,0.9317253828048706
2017-04,13111,0.8231713175406187,1.0351226329803467
2017-05,13328,0.8189787066329522,1.631456732749939
2017-06,13328,0.8371325621789747,1.8476661443710327
2017-07,12640,0.7875100161765081,1.632011890411377
2017-08,13063,0.7789298875774786,2.540627956390381
2017-09,13328,0.8746424423535186,1.3133091926574707
2017-10,13192,0.8108306176638456,0.8597184419631958
2017-11,10994,0.7735397314422893,0.5293073654174805
2018-01,8575,0.22067187254913756,0.8367644548416138
2018-02,12781,0.7202437950734109,0.5525319576263428
2018-03,12103,0.33980238970281684,1.5362505912780762
2018-04,13328,0.7257426634163007,1.4943863153457642
2018-05,13318,0.8640754387821762,1.516872763633728
2018-06,13324,0.8304654600151729,1.8888230323791504
2018-07,13324,0.8804534120933918,1.6035189628601074
2018-08,13063,0.7789298875774786,2.540627956390381
2018-09,13328,0.8746424423535186,1.3133091926574707
2018-10,13192,0.8108306176638456,0.8597184419631958
2018-11,10277,0.6072589843696995,0.478144109249115
2019-01,8575,0.22067187254913756,0.8367644548416138
2019-02,13267,0.702434240053559,0.9524768590927124
2019-03,12289,0.6678853073858244,1.2614368200302124
2019-04,13302,0.8208400757454081,1.5892143249511719
2019-05,13278,0.7921340675618362,1.4235892295837402
2019-06,13328,0.829656895274521,1.897973656654358
2019-07,13291,0.859822312594011,1.6053284406661987
2019-08,6699,0.804623423111639,1.5802960395812988
2019-09,13328,0.8746424423535186,1.3133091926574707
2019-10,12949,0.27589851410056454,3.383002996444702
2019-11,10994,0.7735397314422893,0.5293073654174805
2020-01,8575,0.22067187254913756,0.8367644548416138
2020-02,13267,0.702434240053559,0.9524768590927124
2020-03,11833,0.7627838163184295,1.0089465379714966
2020-04,13301,0.8146741626844888,1.5241590738296509
2020-05,13251,0.8340421224366913,1.9484344720840454
2020-06,4548,0.8572854626488476,1.6095749531638486
2020-07,13324,0.8805400049952881,1.6850063800811768
2020-08,4368,0.4990993758646709,2.9459175959099646
2020-09,13324,0.7600265157859853,1.2086434364318848
2020-10,13192,0.8108306176638456,0.8597184419631958
2020-11,10994,0.7735397314422893,0.5293073654174805
2021-01,8575,0.22067187254913756,0.8367644548416138
2021-02,13282,0.8220505074653601,0.9638974070549011
2021-03,9437,0.7494813837831242,1.1802135705947876
2021-04,13111,0.8231713175406187,1.0351226329803467
2021-05,13278,0.7921340675618362,1.4235892295837402
2021-06,13324,0.8304654600151729,1.8888230323791504
2021-07,13324,0.8805400049952881,1.6850063800811768
2021-08,13063,0.7789298875774786,2.540627956390381
2021-09,13328,0.8746424423535186,1.3133091926574707
2021-10,13192,0.8108306176638456,0.8597184419631958
2021-11,10994,0.7735397314422893,0.5293073654174805
2022-01,8575,0.22067187254913756,0.8367644548416138
2022-02,13267,0.702434240053559,0.9524768590927124
2022-03,13328,0.778825513336598,1.0097548961639404
2022-04,13111,0.8231713175406187,1.0351226329803467
2022-05,13146,0.8495829333038337,1.7893763780593872
2022-06,13310,0.8711721452591881,1.720517635345459
2022-07,13324,0.8805400049952881,1.6850063800811768
2022-08,13297,0.856173514717005,1.8584660291671753
2022-09,13286,0.7514247591479268,1.4627857208251953
2022-10,13317,0.6812391301464089,0.6673191785812378
2022-11,12665,0.38796822555100297,0.6005236506462097
2023-01,8575,0.22067187254913756,0.8367644548416138
2023-02,13267,0.702434240053559,0.9524768590927124
2023-03,13295,0.7617111388600253,0.9317253828048706
2023-04,13111,0.8231713175406187,1.0351226329803467
2023-05,13323,0.8866964848474796,1.3785688877105713
2023-06,13183,0.7946148964006216,2.3767385482788086
2023-07,13324,0.8805400049952881,1.6850063800811768
2023-08,13328,0.8318147234412534,1.558753252029419
2023-09,13309,0.8376734665267181,1.078665018081665
2023-10,13192,0.8108306176638456,0.8597184419631958
2023-11,10994,0.7735397314422893,0.5293073654174805
2024-01,8575,0.22067187254913756,0.8367644548416138
2024-02,13267,0.702434240053559,0.9524768590927124
2024-03,13328,0.7409391718391829,0.8233041763305664
2024-04,13111,0.8231713175406187,1.0351226329803467
2024-05,13298,0.8704783768866409,1.5454620122909546
2024-06,13328,0.848930783138043,2.0324063301086426
2024-07,13275,0.8636604109653501,1.5906342267990112
2024-08,13158,0.876815276078347,1.3182587623596191
2024-09,13328,0.8485383040422181,1.110922932624817
2024-10,13192,0.8108306176638456,0.8597184419631958
2024-11,10994,0.7735397314422893,0.5293073654174805
2025-01,8575,0.22067187254913756,0.8367644548416138
2025-02,13049,0.7558482330596914,0.9785745739936829
2025-03,13318,0.804136103301941,1.2193182706832886
2025-04,12913,0.7380216377005084,2.0590991973876953
2025-05,10822,0.7607869443726857,2.2697887420654297
2025-06,13324,0.8304654600151729,1.8888230323791504
2025-07,13328,0.8485899987623391,1.9006391763687134
2025-08,13321,0.855656257143484,1.5410183668136597
2025-09,13328,0.8746424423535186,1.3133091926574707
2025-10,3385,0.5455303410035031,0.4637779350032945
2025-11,12192,0.34879484947667483,2.4365193843841553
2026-01,8575,0.22067187254913756,0.8367644548416138
2026-02,11661,0.7412400027634376,1.145228385925293
2026-03,13317,0.6908874926426265,1.3272016048431396
2026-04,13311,0.8122857244618665,1.3323302268981934
2026-05,13301,0.8436717457871723,1.5454481840133667
2026-06,12204,0.7863462180077674,2.7607791423797607
2026-07,10675,0.8627825049656226,1.6733202934265137
2026-08,13286,0.8709731065638388,1.404429316520691
