month,n_wt,n_ctrl,delta_wt,delta_ctrl,diff_K,spearman,bin_none,bin_0-10 m,bin_10-30 m,bin_30-60 m,bin_>60 m
2017-01,2079,15320,-0.01887841708958149,0.04241291433572769,-0.06129132956266403,-0.05942069256117648,0.04241291433572769,-0.06369023025035858,-0.07601448148488998,-0.008488542400300503,-0.05586768686771393
2017-02,2087,15360,-0.19356806576251984,0.06381554901599884,-0.2573836147785187,-0.1277090902903421,0.06381554901599884,-0.05397471413016319,-0.11725457012653351,-0.2000064253807068,-0.40639084577560425
2017-03,2087,15360,-0.22248660027980804,0.06616457551717758,-0.28865116834640503,-0.04914675302040405,0.06616457551717758,-0.05300913006067276,-0.1297031044960022,-0.22320079803466797,-0.35105404257774353
2017-04,2087,15360,-0.18303091824054718,0.0647938922047615,-0.24782481789588928,-0.04283540897342856,0.0647938922047615,-0.06845145672559738,-0.11467944830656052,-0.19818702340126038,-0.16059958934783936
2017-05,2087,15360,-0.36731207370758057,0.12875299155712128,-0.49606508016586304,-0.08071226560497552,0.12875299155712128,-0.11966238170862198,-0.26064667105674744,-0.3737175464630127,-0.4128837585449219
2017-06,2087,15360,-0.36692798137664795,0.1924472600221634,-0.5593752264976501,-0.11504117916807374,0.1924472600221634,-0.22647856175899506,-0.38398972153663635,-0.37180614471435547,-0.18996012210845947
2017-07,2087,15344,-0.13220633566379547,0.08505695313215256,-0.21726328134536743,-0.08347491548414643,0.08505695313215256,-0.11333077400922775,-0.1528889387845993,-0.1375533491373062,-0.04172453656792641
2017-08,2087,15360,-0.28079336881637573,0.1261138916015625,-0.40690726041793823,0.006957317491999814,0.1261138916015625,-0.15544132888317108,-0.2062908113002777,-0.3604702949523926,-0.06334984302520752
2017-09,2087,15360,-0.33885297179222107,0.1793927550315857,-0.5182456970214844,-0.06838752483288685,0.1793927550315857,-0.22542773187160492,-0.31603649258613586,-0.3527248203754425,-0.2732437252998352
2017-10,2087,15360,-0.16174544394016266,0.07789456844329834,-0.239640012383461,-0.09863345200933743,0.07789456844329834,-0.08771517127752304,-0.15196910500526428,-0.1639406681060791,-0.16091611981391907
