label,n_cells,oob_r2,oob_rmse
2025-05,11263,0.8072126956518508,2.008504867553711
2025-06,8206,0.7094739607076854,3.318939447402954
2025-07,11973,0.7382212359244009,3.082136392593384
2025-08,11969,0.8736872209127136,1.4934771060943604
2025-09,11149,0.7387959450226144,1.3689398765563965
2025-11,10785,0.5990125484316295,0.4560655653476715
2026-02,10395,0.7890443831898555,1.1128700971603394
2026-03,11879,0.7743272005711941,1.2631489038467407
2026-04,11949,0.816987651130716,1.5372326374053955
2026-05,11906,0.8471338838991491,1.7761813402175903
2026-06,8206,0.7094739607076854,3.318939447402954
2026-07,5551,0.8749832127409939,1.6009135246276855
2026-08,11887,0.8746102764248144,1.3823144435882568
