month,n_wt,n_ctrl,delta_wt,delta_ctrl,diff_K,spearman,bin_none,bin_0-10 m,bin_10-30 m,bin_30-60 m,bin_>60 m
2017-01,620,9110,0.045421525835990906,-0.0016376415733247995,0.04705916717648506,0.021884118565020566,-0.0016376415733247995,-0.0061823586001992226,0.038154762238264084,0.06087029352784157,0.05178653821349144
2017-02,620,9110,-0.010399913415312767,0.01442396454513073,-0.024823877960443497,-0.014897842446905825,0.01442396454513073,-0.0367027223110199,-0.031739093363285065,-0.08349483460187912,-0.00045215091085992754
2017-03,620,9110,0.04508135840296745,-0.002576434053480625,0.047657791525125504,-0.003955964864899019,-0.002576434053480625,-0.06255702674388885,0.0076414369978010654,-0.0004579880624078214,0.1516152173280716
2017-04,620,9110,0.26520079374313354,-0.010698940604925156,0.275899738073349,0.03617558021853647,-0.010698940604925156,-0.020276058465242386,0.1948007047176361,0.24890321493148804,0.237574502825737
2017-05,620,9110,0.0784490630030632,-0.039719536900520325,0.11816859990358353,0.09770202725070477,-0.039719536900520325,0.1310911327600479,0.07818622142076492,0.1263088434934616,0.06581699848175049
2017-06,620,9110,0.03389468789100647,0.03767590969800949,-0.0037812218070030212,-0.010958064912975175,0.03767590969800949,-0.14227452874183655,0.07998861372470856,-0.03737437725067139,0.19368316233158112
2017-07,576,8759,-0.006812181789427996,0.01693587563931942,-0.023748056963086128,-0.016501592116607813,0.01693587563931942,-0.024315156042575836,-0.029455862939357758,-0.056743308901786804,0.04959018528461456
2017-08,620,9110,0.18714049458503723,0.05013585463166237,0.13700464367866516,0.005705403531871334,0.05013585463166237,-0.11256852000951767,0.047972146421670914,0.09419336915016174,0.23213209211826324
2017-09,620,9110,-0.06420475989580154,0.03489294648170471,-0.09909770637750626,0.005883987126662484,0.03489294648170471,0.019421296194195747,-0.04252859577536583,-0.1708710938692093,-0.07564175128936768
2017-10,620,9110,-0.00833204947412014,0.04932239651679993,-0.057654447853565216,-0.02875832102064438,0.04932239651679993,-0.07422816753387451,-0.05612584576010704,-0.017190424725413322,0.07922016829252243
2017-11,613,8881,-0.14192967116832733,-0.007916323840618134,-0.1340133547782898,-0.008872323016736442,-0.007916323840618134,0.12808476388454437,-0.11550106853246689,-0.17091725766658783,0.18556170165538788
2018-01,620,9110,0.045421525835990906,-0.0016376415733247995,0.04705916717648506,0.021884118565020566,-0.0016376415733247995,-0.0061823586001992226,0.038154762238264084,0.06087029352784157,0.05178653821349144
2018-02,620,9077,0.0701424777507782,-0.03924090415239334,0.10938338190317154,0.01901648174532724,-0.03924090415239334,-0.037712983787059784,0.06224604696035385,0.04593316465616226,0.23382370173931122
2018-03,620,9110,-0.19562877714633942,0.0564395971596241,-0.2520683705806732,-0.030972670023107243,0.0564395971596241,-0.1454085111618042,-0.20069685578346252,-0.4579039514064789,-0.5443353652954102
2018-04,620,9110,0.18497717380523682,-0.10293417423963547,0.2879113554954529,0.023833376579326045,-0.10293417423963547,-0.03542580455541611,0.21326223015785217,0.19642825424671173,-0.19675707817077637
2018-05,620,9110,-0.006015107035636902,-0.013931927271187305,0.007916820235550404,0.044113958279563166,-0.013931927271187305,0.061079081147909164,-0.009644205681979656,0.039856892079114914,0.04304121062159538
2018-06,620,9110,-0.18044783174991608,0.03384070098400116,-0.21428853273391724,-0.02386175947147192,0.03384070098400116,-0.06809761375188828,-0.12977372109889984,-0.18781714141368866,-0.11286159604787827
2018-07,620,9110,-0.04430803656578064,-0.009083230048418045,-0.035224806517362595,0.016310098464214853,-0.009083230048418045,0.029835982248187065,-0.06249549612402916,-0.06477802246809006,-0.1740768402814865
2018-08,605,8563,-0.33699485659599304,-0.016232287511229515,-0.320762574672699,0.0004651467452520529,-0.016232287511229515,0.09926171600818634,-0.09906801581382751,-0.5482680797576904,-0.8197819590568542
2018-09,620,9110,-0.06420475989580154,0.03489294648170471,-0.09909770637750626,0.005883987126662484,0.03489294648170471,0.019421296194195747,-0.04252859577536583,-0.1708710938692093,-0.07564175128936768
2018-10,620,9110,-0.00833204947412014,0.04932239651679993,-0.057654447853565216,-0.02875832102064438,0.04932239651679993,-0.07422816753387451,-0.05612584576010704,-0.017190424725413322,0.07922016829252243
2018-11,619,8860,-0.11772653460502625,0.02093515545129776,-0.1386616826057434,-0.0327293480590955,0.02093515545129776,0.012861836701631546,-0.09841258823871613,0.006437825039029121,-0.1740218847990036
2019-01,620,9110,0.045421525835990906,-0.0016376415733247995,0.04705916717648506,0.021884118565020566,-0.0016376415733247995,-0.0061823586001992226,0.038154762238264084,0.06087029352784157,0.05178653821349144
2019-02,620,9110,-0.010399913415312767,0.01442396454513073,-0.024823877960443497,-0.014897842446905825,0.01442396454513073,-0.0367027223110199,-0.031739093363285065,-0.08349483460187912,-0.00045215091085992754
2019-03,620,9110,0.04508135840296745,-0.002576434053480625,0.047657791525125504,-0.003955964864899019,-0.002576434053480625,-0.06255702674388885,0.0076414369978010654,-0.0004579880624078214,0.1516152173280716
2019-04,620,9110,-0.28890207409858704,0.01892491802573204,-0.3078269958496094,-0.012772967128277716,0.01892491802573204,-0.02364577166736126,-0.10156013071537018,-0.2536349296569824,-0.716641366481781
