month,n_frames,n_cells,loyo_rmse
01,10,95150,0.16609546254195331
02,10,116076,1.8405546015770544
03,10,110316,5.152729056161089
04,10,119174,2.7489359408069793
05,10,103096,4.627588799170511
06,10,115784,3.4481933989429097
07,10,109571,2.9713341082655633
08,10,113620,2.8091254942948662
09,9,106779,2.6313645519952855
10,9,104375,2.659539578128837
11,9,88010,3.549238015518136
