month,n_scenes,method,rmse_frame,mae_frame,rmse_region,mae_region,p99_intracell
2018-05,2,nearest,1.3079843826681226,0.8865464652740344,0.42778343490875254,0.27584604945529834,0
2018-05,2,linear,1.6099815981081946,1.0864522556282514,0.9494499978748677,0.7183057742411862,4.3579462956864825
2018-05,2,rf,1.434133799043581,1.0034463580835267,0.6765615765165367,0.45587505438919673,6.283171505438853
2018-08,1,nearest,1.2194486551526535,0.845031160365286,0.5198561785101036,0.3742990408460818,0
2018-08,1,linear,1.591725958552365,1.1590751446383192,1.1693847770170582,0.906658930731224,5.527164372562003
2018-08,1,rf,1.991216027849334,1.468067755639854,1.2060223509977275,0.9355480862010735,7.408400759698007
2019-10,1,nearest,0.4927015009607631,0.34610114067761566,0.3100430596936278,0.1930885085541601,0
2019-10,1,linear,0.5821767474928715,0.4325650730286049,0.39302557198772603,0.2987289343508442,1.7254219161815434
2019-10,1,rf,0.6857936260887141,0.5061670818758982,0.39462279478439244,0.29788083437732177,2.4224784030509836
2020-03,1,nearest,0.7004580906231316,0.4939825061066142,0.4141068212240478,0.317313941678232,0
2020-03,1,linear,0.7108583770873486,0.5003649858670108,0.3983533384031755,0.3042496765692915,0.4162288969677207
2020-03,1,rf,0.8749247061675548,0.627264148574041,0.5298464294863126,0.4108683468529306,3.019367191286325
2022-06,1,nearest,1.57687227719557,1.0580832960941498,0.5220519042284998,0.32179304190961905,0
2022-06,1,linear,1.8256296015402884,1.155845109608339,0.8869972954610026,0.6315050895989847,4.32647107557768
2022-06,1,rf,1.6354655001540177,1.127320839941827,0.7614254882063529,0.508565594638834,7.687157775624956
2023-09,2,nearest,0.8756429479195363,0.5948394595039539,0.28596232801922306,0.18337631409773414,0
2023-09,2,linear,1.0594099939738724,0.7121708244173183,0.4922960344002809,0.3606254577969358,2.640337386339219
2023-09,2,rf,0.9584415204907669,0.6866109034308279,0.4634639408803782,0.3142098427915187,3.793620673499859
2025-02,1,nearest,0.6668842973904797,0.39778944706512886,0.3043105432939071,0.17882317897060504,0
2025-02,1,linear,0.7045925155499287,0.41383082321621245,0.32306611585124095,0.19251142650306582,0.3942501452842227
2025-02,1,rf,0.847648032499754,0.55174978703151,0.4068979994215836,0.3058704081330138,4.541463816974788
2026-07,1,nearest,1.2951143626841468,0.8329740093213935,0.4366253050475873,0.2895978577577427,0
2026-07,1,linear,1.4773025941999929,0.9763948781827775,0.7442387900546564,0.5525769855546132,3.9504765813697853
2026-07,1,rf,1.4324034624672433,0.9726264443090039,0.609268955737107,0.4128507093564118,5.971594459505524
