month,n_scenes,method,rmse_frame,mae_frame,rmse_region,mae_region,p99_intracell
2018-05,2,nearest,1.3079843826681226,0.8865464652740344,0.42778343490875254,0.27584604945529834,0
2018-05,2,linear,1.6099815981081946,1.0864522556282514,0.9494499978748677,0.7183057742411862,4.3579462956864825
2018-05,2,rf,1.3181400194362494,0.9371838661209025,0.5867885794302248,0.3705803678073343,5.854415551410715
2018-08,1,nearest,1.2194486551526535,0.845031160365286,0.5198561785101036,0.3742990408460818,0
2018-08,1,linear,1.591725958552365,1.1590751446383192,1.1693847770170582,0.906658930731224,5.527164372562003
2018-08,1,rf,1.727171643112782,1.2944492838905859,0.9061303187589161,0.6996423300924983,6.538965729811502
2019-10,1,nearest,0.4927015009607631,0.34610114067761566,0.3100430596936278,0.1930885085541601,0
2019-10,1,linear,0.5821767474928715,0.4325650730286049,0.39302557198772603,0.2987289343508442,1.7254219161815434
2019-10,1,rf,0.619056158392541,0.46195490062484096,0.37509789871594273,0.2864341501988423,2.227450561377606
2020-03,1,nearest,0.7004580906231316,0.4939825061066142,0.4141068212240478,0.317313941678232,0
2020-03,1,linear,0.7108583770873486,0.5003649858670108,0.3983533384031755,0.3042496765692915,0.4162288969677207
2020-03,1,rf,0.7627951083198088,0.554107492217659,0.4518040923579829,0.35162619646188975,2.63776589289311
2022-06,1,nearest,1.57687227719557,1.0580832960941498,0.5220519042284998,0.32179304190961905,0
2022-06,1,linear,1.8256296015402884,1.155845109608339,0.8869972954610026,0.6315050895989847,4.32647107557768
2022-06,1,rf,1.4781163796471246,1.0416466131186681,0.6779225243105257,0.42661904012487667,7.212506058187632
2023-09,2,nearest,0.8756429479195363,0.5948394595039539,0.28596232801922306,0.18337631409773414,0
2023-09,2,linear,1.0594099939738724,0.7121708244173183,0.4922960344002809,0.3606254577969358,2.640337386339219
2023-09,2,rf,0.8717793769483844,0.6280787706727086,0.42076390301270017,0.2893560168875166,3.512242293719363
2025-02,1,nearest,0.6668842973904797,0.39778944706512886,0.3043105432939071,0.17882317897060504,0
2025-02,1,linear,0.7045925155499287,0.41383082321621245,0.32306611585124095,0.19251142650306582,0.3942501452842227
2025-02,1,rf,0.7623044349340452,0.50001391067068,0.3412164232306184,0.25322569711219634,4.326625974168113
2026-07,1,nearest,1.2951143626841468,0.8329740093213935,0.4366253050475873,0.2895978577577427,0
2026-07,1,linear,1.4773025941999929,0.9763948781827775,0.7442387900546564,0.5525769855546132,3.9504765813697853
2026-07,1,rf,1.2376944249642206,0.8574469027437347,0.5751523132089343,0.3832451478633794,5.459206546180959
